Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.14375000000000002,4:25:47 PM,5,12,1,0,0
0.145,4:25:47 PM,0,8,2,0,0
0.14625,4:25:47 PM,7,7,0,0,0
0.1475,4:25:47 PM,5,9,2,0,0
0.14875,4:25:47 PM,7,12,2,0,0
0.15,4:25:47 PM,10,11,2,0,0
0.15125,4:25:47 PM,4,9,3,0,0
0.1525,4:25:47 PM,5,11,1,0,0
0.15375,4:25:47 PM,8,12,0,0,0
0.155,4:25:47 PM,2,10,3,0,0
0.15625,4:25:47 PM,4,7,3,0,0
0.1575,4:25:47 PM,4,12,1,0,0
0.15875,4:25:47 PM,4,9,2,0,0
0.16,4:25:47 PM,3,12,1,0,0
0.16125,4:25:47 PM,4,9,1,0,0
0.1625,4:25:47 PM,6,10,1,0,0
0.16375,4:25:47 PM,8,7,2,0,0
0.165,4:25:47 PM,5,10,3,0,0
0.16625,4:25:47 PM,4,11,1,0,0
0.1675,4:25:47 PM,6,8,0,0,0
0.16875,4:25:47 PM,3,12,0,0,0
0.17,4:25:47 PM,6,11,4,0,0
0.17125,4:25:47 PM,1,8,2,0,0
0.17250000000000001,4:25:47 PM,5,5,2,0,0
0.17375000000000002,4:25:47 PM,4,9,1,0,0
0.17500000000000002,4:25:47 PM,7,6,1,0,0
0.17625,4:25:47 PM,9,10,0,0,0
0.1775,4:25:47 PM,5,14,3,0,0
0.17875,4:25:47 PM,3,7,1,0,0
0.18,4:25:47 PM,10,8,2,0,0
0.18125,4:25:47 PM,7,16,1,0,0
0.1825,4:25:47 PM,4,9,2,0,0
0.18375,4:25:47 PM,8,8,1,0,0
0.185,4:25:47 PM,9,15,2,0,0
0.18625,4:25:47 PM,3,19,0,0,0
0.1875,4:25:47 PM,6,7,2,0,0
0.18875,4:25:47 PM,6,13,3,0,0
0.19,4:25:47 PM,6,7,0,0,0
0.19125,4:25:47 PM,6,11,0,0,0
0.1925,4:25:47 PM,1,13,0,0,0
0.19375,4:25:47 PM,4,9,1,0,0
0.195,4:25:47 PM,6,10,1,0,0
0.19625,4:25:47 PM,7,7,5,0,0
0.1975,4:25:47 PM,3,9,1,0,0
0.19875,4:25:47 PM,6,14,2,0,0
0.2,4:25:47 PM,3,7,0,0,0
0.20125,4:25:47 PM,3,9,0,0,0
0.2025,4:25:47 PM,4,8,2,0,0
0.20375000000000001,4:25:47 PM,2,7,2,0,0
0.20500000000000002,4:25:47 PM,3,7,1,0,0
0.20625000000000002,4:25:47 PM,6,6,2,0,0
0.20750000000000002,4:25:47 PM,1,4,2,0,0
0.20875,4:25:47 PM,5,9,1,0,0
0.21,4:25:47 PM,5,19,3,0,0
0.21125,4:25:47 PM,14,10,0,0,0
0.2125,4:25:47 PM,12,8,0,0,0
0.21375,4:25:47 PM,9,12,3,0,0
0.215,4:25:47 PM,5,8,2,0,0
0.21625,4:25:47 PM,2,9,1,0,0
0.2175,4:25:47 PM,8,5,2,0,0
0.21875,4:25:47 PM,7,17,4,0,0
0.22,4:25:47 PM,9,8,2,0,0
0.22125,4:25:47 PM,8,5,1,0,0
0.2225,4:25:47 PM,5,13,1,0,0
0.22375,4:25:47 PM,3,12,1,0,0
0.225,4:25:47 PM,4,11,0,0,0
0.22625,4:25:47 PM,2,14,0,0,0
0.2275,4:25:47 PM,12,2,2,0,0
0.22875,4:25:47 PM,2,7,1,0,0
0.23,4:25:47 PM,3,19,0,0,0
0.23125,4:25:47 PM,3,7,3,0,0
0.2325,4:25:47 PM,7,6,2,0,0
0.23375,4:25:47 PM,4,8,1,0,0
0.23500000000000001,4:25:47 PM,3,16,0,0,0
0.23625000000000002,4:25:47 PM,4,13,1,0,0
0.23750000000000002,4:25:47 PM,3,4,2,0,0
0.23875000000000002,4:25:47 PM,5,12,1,0,0
0.24,4:25:47 PM,6,13,1,0,0
0.24125,4:25:47 PM,10,6,1,0,0
0.2425,4:25:47 PM,5,13,0,0,0
0.24375,4:25:47 PM,2,8,2,0,0
0.245,4:25:47 PM,6,5,2,0,0
0.24625,4:25:47 PM,7,14,3,0,0
0.2475,4:25:47 PM,5,11,2,0,0
0.24875,4:25:47 PM,7,5,1,0,0
0.25,4:25:47 PM,6,18,2,0,0
0.25125000000000003,4:25:47 PM,5,9,0,0,0
0.2525,4:25:47 PM,3,9,2,0,0
0.25375000000000003,4:25:47 PM,3,13,2,0,0
0.255,4:25:47 PM,5,10,3,0,0
0.25625,4:25:47 PM,4,6,1,0,0
0.2575,4:25:47 PM,4,10,2,0,0
0.25875,4:25:47 PM,9,8,2,0,0
0.26,4:25:47 PM,3,10,1,0,0
0.26125,4:25:47 PM,3,13,0,0,0
0.2625,4:25:47 PM,4,13,1,0,0
0.26375,4:25:47 PM,5,17,1,0,0
0.265,4:25:47 PM,5,8,3,0,0
0.26625,4:25:47 PM,5,7,0,0,0
0.2675,4:25:47 PM,2,14,0,0,0
0.26875,4:25:47 PM,3,9,2,0,0
0.27,4:25:47 PM,4,9,1,0,0
0.27125,4:25:47 PM,4,12,1,0,0
0.2725,4:25:47 PM,8,8,2,0,0
0.27375,4:25:47 PM,4,12,1,0,0
0.275,4:25:47 PM,4,12,4,0,0
0.27625,4:25:47 PM,4,7,3,0,0
0.2775,4:25:47 PM,7,6,1,0,0
0.27875,4:25:47 PM,4,8,1,0,0
0.28,4:25:47 PM,5,8,2,0,0
0.28125,4:25:47 PM,5,8,2,0,0
